,time (s),EMG (mV)
0,1970-01-01T00:00:01.003250000,0.33
1,1970-01-01T00:00:01.059500000,0.6117
2,1970-01-01T00:00:01.061500000,0.6367
3,1970-01-01T00:00:01.063750000,0.3783
4,1970-01-01T00:00:01.104250000,0.3933
5,1970-01-01T00:00:01.108250000,0.3383
6,1970-01-01T00:00:01.154750000,0.4617
7,1970-01-01T00:00:01.156500000,0.8367
8,1970-01-01T00:00:01.158750000,0.4967
9,1970-01-01T00:00:01.213250000,0.405
10,1970-01-01T00:00:01.217000000,0.3117
11,1970-01-01T00:00:01.238500000,0.59
12,1970-01-01T00:00:01.240500000,0.7067
13,1970-01-01T00:00:01.243000000,0.3817
14,1970-01-01T00:00:01.320500000,0.4333
15,1970-01-01T00:00:01.324500000,0.3567
16,1970-01-01T00:00:01.338000000,0.535
17,1970-01-01T00:00:01.340000000,0.7
18,1970-01-01T00:00:01.342250000,0.4117
19,1970-01-01T00:00:01.424500000,0.3467
20,1970-01-01T00:00:01.428500000,0.3483
21,1970-01-01T00:00:01.435500000,0.5717
22,1970-01-01T00:00:01.437500000,0.795
23,1970-01-01T00:00:01.439750000,0.4267
